District,Year,Enrollment Type,County,District Classification,Enrollment Breakdown,Metric,Region,Col Label,Color Desc,Row Label,Status %
San Diego Unified,2013,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,96.80%
Poway Unified,2013,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,96.20%
Valley Center-Pauma Unified,2013,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,98.50%
Carlsbad Unified,2013,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,100.00%
Poway Unified,2013,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,100.00%
San Marcos Unified,2013,White,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,97.10%
San Diego Unified,2013,White,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,94.10%
Poway Unified,2013,White,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,97.10%
Vista Unified,2014,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,96.70%
Poway Unified,2014,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,98.30%
Poway Unified,2014,Black,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,95.30%
San Marcos Unified,2014,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,96.30%
San Diego Unified,2014,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,96.30%
Poway Unified,2014,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,98.20%
Valley Center-Pauma Unified,2014,Hispanic,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,98.30%
Carlsbad Unified,2014,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,100.00%
Poway Unified,2014,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,95.90%
San Marcos Unified,2014,White,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,95.60%
San Diego Unified,2014,White,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,95.30%
Poway Unified,2014,White,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,98.20%
Vista Unified,2015,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.60%
Poway Unified,2015,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,99.10%
Poway Unified,2015,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.00%
San Marcos Unified,2015,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.60%
San Diego Unified,2015,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.00%
Poway Unified,2015,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,96.20%
Valley Center-Pauma Unified,2015,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.90%
Carlsbad Unified,2015,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,100.00%
Poway Unified,2015,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.20%
San Marcos Unified,2015,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,96.30%
San Diego Unified,2015,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.20%
Poway Unified,2015,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.80%
Carlsbad Unified,2012,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Blue,Very High,94.10%
San Marcos Unified,2012,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Blue,Very High,95.30%
Oceanside Unified,2012,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Blue,Very High,98.00%
Poway Unified,2012,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Blue,Very High,95.60%
Oceanside Unified,2012,White,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Blue,Very High,88.90%
Vista Unified,2012,White,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Blue,Very High,93.80%
Coronado Unified,2012,White,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Blue,Very High,94.80%
Carlsbad Unified,2013,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Blue,Very High,97.80%
San Marcos Unified,2013,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Blue,Very High,100.00%
Oceanside Unified,2013,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Blue,Very High,94.00%
Poway Unified,2013,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Blue,Very High,96.70%
Oceanside Unified,2013,White,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Blue,Very High,91.40%
Vista Unified,2013,White,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Blue,Very High,94.00%
Coronado Unified,2013,White,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Blue,Very High,96.20%
Carlsbad Unified,2014,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Blue,Very High,98.00%
San Marcos Unified,2014,Asian,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Blue,Very High,94.70%
Oceanside Unified,2014,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Blue,Very High,91.40%
Poway Unified,2014,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Blue,Very High,96.80%
Oceanside Unified,2014,White,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Blue,Very High,93.20%
Vista Unified,2014,White,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Blue,Very High,93.50%
Coronado Unified,2014,White,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Blue,Very High,99.00%
Carlsbad Unified,2015,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,100.00%
San Marcos Unified,2015,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,98.20%
Oceanside Unified,2015,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,96.60%
Poway Unified,2015,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,98.40%
Oceanside Unified,2015,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,95.60%
Vista Unified,2015,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,95.80%
Coronado Unified,2015,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,99.50%
Vista Unified,2012,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,76.50%
Vista Unified,2013,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,86.40%
Vista Unified,2014,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,83.30%
Vista Unified,2015,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,95.70%
Oceanside Unified,2012,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased Significantly,Blue,Very High,87.50%
Oceanside Unified,2013,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased Significantly,Blue,Very High,97.70%
Oceanside Unified,2014,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased Significantly,Blue,Very High,90.00%
Oceanside Unified,2015,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Blue,Very High,97.10%
Mountain Empire Unified,2016,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Red,Very Low,61.10%
Carlsbad Unified,2016,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Red,Very Low,65.00%
San Diego Unified,2016,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Red,Very Low,61.20%
Ramona City Unified,2016,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Red,Very Low,66.00%
Warner Unified,2016,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,No Color,No Color,No Color,76.90%
Oceanside Unified,2016,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined,Orange,Low,69.70%
Valley Center-Pauma Unified,2016,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,82.80%
Mountain Empire Unified,2016,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,75.00%
Vista Unified,2016,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased,Yellow,Low,74.10%
Warner Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,81.80%
Mountain Empire Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Low,79.80%
Mountain Empire Unified,2016,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined Significantly,Red,Low,81.50%
Poway Unified,2016,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,83.30%
Oceanside Unified,2016,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,84.00%
Vista Unified,2016,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,81.30%
Mountain Empire Unified,2016,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Low,83.00%
Borrego Springs Unified,2016,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,86.50%
Poway Unified,2016,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,85.10%
Oceanside Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,88.40%
Borrego Springs Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,85.70%
Ramona City Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,Medium,88.20%
Valley Center-Pauma Unified,2016,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,88.90%
Oceanside Unified,2016,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,89.70%
San Diego Unified,2016,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,87.80%
San Diego Unified,2016,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,85.70%
Borrego Springs Unified,2016,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,88.90%
Oceanside Unified,2016,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Yellow,High,90.00%
Vista Unified,2016,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Green,High,92.80%
San Diego Unified,2016,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Green,High,92.60%
Ramona City Unified,2016,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Green,High,93.80%
Coronado Unified,2016,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Maintained,Green,High,94.40%
San Marcos Unified,2016,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Blue,High,94.30%
Carlsbad Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,High,92.20%
Vista Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,High,90.90%
San Diego Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,High,90.50%
Vista Unified,2016,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,93.30%
Oceanside Unified,2016,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,92.50%
Coronado Unified,2016,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,93.90%
Oceanside Unified,2016,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,91.20%
Oceanside Unified,2016,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,90.00%
Oceanside Unified,2016,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,92.60%
Oceanside Unified,2016,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,91.00%
Carlsbad Unified,2016,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,91.20%
Vista Unified,2016,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,91.20%
Vista Unified,2016,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,94.60%
San Diego Unified,2016,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,94.40%
Vista Unified,2016,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,93.50%
Ramona City Unified,2016,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,90.70%
San Diego Unified,2016,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Blue,High,90.10%
Carlsbad Unified,2016,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.50%
Coronado Unified,2016,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.60%
Poway Unified,2016,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.60%
Valley Center-Pauma Unified,2016,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.00%
San Marcos Unified,2016,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Blue,Very High,99.00%
Coronado Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,95.00%
Valley Center-Pauma Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Blue,Very High,95.60%
Poway Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Blue,Very High,96.10%
San Marcos Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Blue,Very High,99.10%
Poway Unified,2016,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,Very High,95.40%
Valley Center-Pauma Unified,2016,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,Very High,95.80%
Carlsbad Unified,2016,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,Very High,97.60%
Poway Unified,2016,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,98.30%
Poway Unified,2016,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,96.10%
San Diego Unified,2016,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,96.60%
Poway Unified,2016,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,96.40%
Coronado Unified,2016,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,98.60%
San Diego Unified,2016,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.40%
Poway Unified,2016,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,98.00%
Poway Unified,2016,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
Carlsbad Unified,2016,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,100.00%
San Marcos Unified,2016,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,100.00%
San Marcos Unified,2016,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,97.40%
San Marcos Unified,2016,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,100.00%
San Marcos Unified,2016,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,99.20%
San Diego Unified,2016,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,95.50%
Poway Unified,2016,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,98.50%
Carlsbad Unified,2016,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,96.80%
San Marcos Unified,2016,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,98.80%
Valley Center-Pauma Unified,2016,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,100.00%
Ramona City Unified,2016,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,95.10%
Vista Unified,2016,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Marcos Unified,2016,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Diego Unified,2016,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Blue,Very High,95.00%
Vista Unified,2016,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Blue,Very High,100.00%
Bonsall Unified,2018,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,66.70%
Vista Unified,2018,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined Significantly,Red,Very Low,62.10%
San Diego Unified,2018,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased,Red,Very Low,62.50%
Oceanside Unified,2018,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined Significantly,Red,Low,67.70%
Carlsbad Unified,2018,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined,Orange,Low,72.60%
Ramona City Unified,2018,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased,Yellow,Low,70.40%
Valley Center-Pauma Unified,2018,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,79.20%
Bonsall Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,78.10%
Coronado Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Low,77.80%
Bonsall Unified,2018,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,78.60%
Oceanside Unified,2018,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,78.10%
Bonsall Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,No Color,No Color,No Color,83.10%
Oceanside Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Orange,Medium,84.70%
Borrego Springs Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,No Color,No Color,No Color,89.70%
San Diego Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,89.50%
Coronado Unified,2018,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,83.30%
San Marcos Unified,2018,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,82.30%
Poway Unified,2018,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased,Green,Medium,83.40%
Mountain Empire Unified,2018,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,81.80%
Oceanside Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,82.30%
Borrego Springs Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,89.50%
San Diego Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,86.20%
Valley Center-Pauma Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,87.10%
Ramona City Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,87.10%
Vista Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,Medium,86.90%
Oceanside Unified,2018,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,85.40%
Poway Unified,2018,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,89.00%
Oceanside Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,82.60%
Valley Center-Pauma Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,87.00%
San Diego Unified,2018,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,82.80%
San Diego Unified,2018,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,87.40%
San Diego Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,85.10%
Oceanside Unified,2018,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,88.10%
Vista Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,85.80%
Valley Center-Pauma Unified,2018,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,85.00%
Oceanside Unified,2018,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,86.80%
Coronado Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Yellow,High,92.90%
San Marcos Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Yellow,High,94.30%
Ramona City Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Yellow,High,91.60%
Warner Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,No Color,No Color,No Color,92.30%
Carlsbad Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Green,High,94.80%
Valley Center-Pauma Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Green,High,91.40%
Vista Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Green,High,90.20%
Mountain Empire Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Green,High,93.40%
San Marcos Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Yellow,High,92.40%
Warner Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,91.70%
Carlsbad Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,High,91.20%
Poway Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,High,90.50%
Mountain Empire Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,High,94.50%
Bonsall Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,91.30%
